gcc_after,gcc_before,gcc_delta,graph_id,graph_type,num_candidate_methods,remove_ratio,selected_method,split,step,u,v
0.9593023255813954,1.0,0.04069767441860461,bio_diseasome,real,5,0.0008417508417508417,M4 dynamic community internal / pair,real_external_test,1,141,168
0.9593023255813954,0.9593023255813954,0.0,bio_diseasome,real,5,0.0016835016835016834,M5 dynamic edge betweenness,real_external_test,2,79,256
0.9593023255813954,0.9593023255813954,0.0,bio_diseasome,real,5,0.0025252525252525255,M5 dynamic edge betweenness,real_external_test,3,134,256
0.6453488372093024,0.9593023255813954,0.313953488372093,bio_diseasome,real,5,0.003367003367003367,M5 dynamic edge betweenness,real_external_test,4,398,465
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.004208754208754209,M5 dynamic edge betweenness,real_external_test,5,120,185
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.005050505050505051,M5 dynamic edge betweenness,real_external_test,6,120,168
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.005892255892255892,M5 dynamic edge betweenness,real_external_test,7,23,25
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.006734006734006734,M5 dynamic edge betweenness,real_external_test,8,120,305
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.007575757575757576,M5 dynamic edge betweenness,real_external_test,9,23,120
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.008417508417508417,M5 dynamic edge betweenness,real_external_test,10,150,305
0.6453488372093024,0.6453488372093024,0.0,bio_diseasome,real,5,0.009259259259259259,M5 dynamic edge betweenness,real_external_test,11,25,414
0.5445736434108527,0.6453488372093024,0.10077519379844968,bio_diseasome,real,5,0.010101010101010102,M5 dynamic edge betweenness,real_external_test,12,305,455
0.5445736434108527,0.5445736434108527,0.0,bio_diseasome,real,5,0.010942760942760943,M5 dynamic edge betweenness,real_external_test,13,251,257
0.5445736434108527,0.5445736434108527,0.0,bio_diseasome,real,5,0.011784511784511785,M5 dynamic edge betweenness,real_external_test,14,120,203
0.5445736434108527,0.5445736434108527,0.0,bio_diseasome,real,5,0.012626262626262626,M5 dynamic edge betweenness,real_external_test,15,120,515
0.5445736434108527,0.5445736434108527,0.0,bio_diseasome,real,5,0.013468013468013467,M5 dynamic edge betweenness,real_external_test,16,23,114
0.5445736434108527,0.5445736434108527,0.0,bio_diseasome,real,5,0.01430976430976431,M5 dynamic edge betweenness,real_external_test,17,186,203
0.4844961240310077,0.5445736434108527,0.06007751937984496,bio_diseasome,real,5,0.015151515151515152,M5 dynamic edge betweenness,real_external_test,18,23,414
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.015993265993265993,M5 dynamic edge betweenness,real_external_test,19,251,379
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.016835016835016835,M5 dynamic edge betweenness,real_external_test,20,251,402
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.017676767676767676,M5 dynamic edge betweenness,real_external_test,21,10,363
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.018518518518518517,M5 dynamic edge betweenness,real_external_test,22,44,335
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.01936026936026936,M5 dynamic edge betweenness,real_external_test,23,10,250
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.020202020202020204,M5 dynamic edge betweenness,real_external_test,24,168,335
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.021043771043771045,M5 dynamic edge betweenness,real_external_test,25,63,335
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.021885521885521887,M5 dynamic edge betweenness,real_external_test,26,120,402
0.4844961240310077,0.4844961240310077,0.0,bio_diseasome,real,5,0.022727272727272728,M5 dynamic edge betweenness,real_external_test,27,120,447
0.3624031007751938,0.4844961240310077,0.12209302325581395,bio_diseasome,real,5,0.02356902356902357,M5 dynamic edge betweenness,real_external_test,28,23,373
0.3624031007751938,0.3624031007751938,0.0,bio_diseasome,real,5,0.02441077441077441,M5 dynamic edge betweenness,real_external_test,29,185,293
0.3624031007751938,0.3624031007751938,0.0,bio_diseasome,real,5,0.025252525252525252,M5 dynamic edge betweenness,real_external_test,30,120,256
0.3624031007751938,0.3624031007751938,0.0,bio_diseasome,real,5,0.026094276094276093,M5 dynamic edge betweenness,real_external_test,31,120,228
0.3624031007751938,0.3624031007751938,0.0,bio_diseasome,real,5,0.026936026936026935,M5 dynamic edge betweenness,real_external_test,32,120,335
0.313953488372093,0.3624031007751938,0.04844961240310075,bio_diseasome,real,5,0.027777777777777776,M5 dynamic edge betweenness,real_external_test,33,335,347
