dataset_label,dataset,graph_id,method,attack_phase,selected_edges,inter_community_ratio,bridge_ratio,mean_common_neighbors,median_common_neighbors,mean_edge_embeddedness,median_edge_embeddedness,mean_degree_product,mean_min_endpoint_degree,fraction_min_degree_1,fraction_min_degree_2,mean_delta_gcc,median_delta_gcc,positive_delta_gcc_rate,conditional_mean_delta_gcc,mean_num_components_after,mean_component_increase,mean_full_edge_betweenness_score,mean_sampled_betweenness_score
realworld_completed_24of28,realworld_completed,bio_celegans,M5,early,675.0,0.7837037037037037,0.034074074074074076,3.2266666666666666,1.0,0.21290125550928435,0.2,1259.797037037037,12.822222222222223,0.002962962962962963,0.03259259259259259,0.0007554574441991649,0.0,0.034074074074074076,0.022171033688453756,12.136296296296296,0.034074074074074076,0.017527271391088024,
realworld_completed_24of28,realworld_completed,bio_celegans,M5,late,675.0,0.1748148148148148,0.47703703703703704,0.6103703703703703,0.0,0.4375802469135803,0.0,11.896296296296295,1.8607407407407408,0.43851851851851853,0.32,6.867794947264874e-05,0.0,0.03111111111111111,0.002207505518763709,261.4162962962963,0.47703703703703704,0.3525784244392013,
realworld_completed_24of28,realworld_completed,bio_celegans,M5,middle,675.0,0.5911111111111111,0.15851851851851853,1.0281481481481483,1.0,0.2866036366072486,0.2,143.57333333333332,4.7555555555555555,0.09777777777777778,0.15703703703703703,0.0006540757092633423,0.0,0.08296296296296296,0.007883948281299213,52.77333333333333,0.15851851851851853,0.04960076821970627,
realworld_completed_24of28,realworld_completed,bio_celegans,SASB,early,675.0,0.9451851851851852,0.007407407407407408,3.168888888888889,1.0,0.2088291397230416,0.2,1213.1244444444444,12.95111111111111,0.0,0.016296296296296295,0.0008404872864034009,0.0,0.007407407407407408,0.11346578366445914,2.268148148148148,0.007407407407407408,,3106.2157452417036
realworld_completed_24of28,realworld_completed,bio_celegans,SASB,late,675.0,0.15703703703703703,0.5051851851851852,0.6533333333333333,0.0,0.44767901234567903,0.0,9.813333333333333,1.8385185185185184,0.4444444444444444,0.33037037037037037,5.232605674106549e-05,0.0,0.023703703703703703,0.0022075055187637,251.42962962962963,0.5051851851851852,,10.370419753086418
realworld_completed_24of28,realworld_completed,bio_celegans,SASB,middle,675.0,0.7466666666666667,0.15703703703703703,1.0429629629629629,1.0,0.29747626380013303,0.25,133.59555555555556,4.567407407407408,0.08148148148148149,0.15851851851851853,0.000585397759790692,0.0,0.057777777777777775,0.01013188430406967,32.9762962962963,0.15703703703703703,,569.7335336414544
realworld_completed_24of28,realworld_completed,bio_celegans_dir,M5,early,675.0,0.7866666666666666,0.034074074074074076,3.2266666666666666,1.0,0.21290125550928435,0.2,1259.797037037037,12.822222222222223,0.002962962962962963,0.03259259259259259,0.0007554574441991649,0.0,0.034074074074074076,0.022171033688453756,12.136296296296296,0.034074074074074076,0.017527261618352347,
realworld_completed_24of28,realworld_completed,bio_celegans_dir,M5,late,675.0,0.16592592592592592,0.47703703703703704,0.6088888888888889,0.0,0.4375802469135803,0.0,11.927407407407408,1.8607407407407408,0.43703703703703706,0.32296296296296295,6.867794947264874e-05,0.0,0.03111111111111111,0.002207505518763709,260.8814814814815,0.47703703703703704,0.35276690536842303,
realworld_completed_24of28,realworld_completed,bio_celegans_dir,M5,middle,675.0,0.5644444444444444,0.15851851851851853,1.0296296296296297,1.0,0.2865189805225925,0.2,143.54222222222222,4.7555555555555555,0.09925925925925926,0.15407407407407409,0.0006540757092633423,0.0,0.08296296296296296,0.007883948281299213,52.72148148148148,0.15851851851851853,0.049413925055768276,
realworld_completed_24of28,realworld_completed,bio_celegans_dir,SASB,early,675.0,0.9348148148148148,0.005925925925925926,3.0548148148148146,1.0,0.21558569213498055,0.2,1193.1451851851853,12.754074074074074,0.0,0.014814814814814815,0.0007391055514675822,0.0,0.005925925925925926,0.12472406181015451,1.7496296296296296,0.005925925925925926,,3036.992645050025
realworld_completed_24of28,realworld_completed,bio_celegans_dir,SASB,late,675.0,0.16444444444444445,0.5140740740740741,0.6207407407407407,0.0,0.437679012345679,0.0,8.85037037037037,1.8074074074074074,0.45037037037037037,0.3422222222222222,4.57852996484323e-05,0.0,0.02074074074074074,0.0022075055187637,249.37185185185186,0.5140740740740741,,9.47210934744268
realworld_completed_24of28,realworld_completed,bio_celegans_dir,SASB,middle,675.0,0.7703703703703704,0.14962962962962964,1.1896296296296296,1.0,0.28774812760257673,0.25,147.22666666666666,4.866666666666666,0.07555555555555556,0.1362962962962963,0.0006933202518191444,0.0,0.05925925925925926,0.01169977924944806,29.265185185185185,0.14962962962962964,,650.2691566576142
realworld_completed_24of28,realworld_completed,bio_celegansneural,M5,early,716.0,0.6717877094972067,0.06983240223463687,1.6187150837988826,1.0,0.18404321643231278,0.125,406.49441340782124,10.050279329608939,0.05726256983240224,0.04888268156424581,0.000813535729736844,0.0,0.06983240223463687,0.011649831649831603,23.910614525139664,0.06983240223463687,0.015602362070291332,
realworld_completed_24of28,realworld_completed,bio_celegansneural,M5,late,716.0,0.25558659217877094,0.2164804469273743,1.4958100558659218,1.0,0.48108438736930365,0.5,50.858938547486034,3.553072625698324,0.21089385474860337,0.18435754189944134,0.00023512593344995113,0.0,0.06983240223463687,0.0033670033670033,200.91759776536313,0.2164804469273743,0.11166042337229475,
realworld_completed_24of28,realworld_completed,bio_celegansneural,M5,middle,716.0,0.3770949720670391,0.1270949720670391,1.4120111731843576,1.0,0.30632396225194974,0.25,117.55446927374301,5.293296089385475,0.11731843575418995,0.12569832402234637,0.00034328386283693043,0.0,0.09916201117318436,0.0034618485322710163,96.77793296089385,0.1270949720670391,0.015538645810413714,
realworld_completed_24of28,realworld_completed,bio_celegansneural,SASB,early,716.0,0.9413407821229051,0.004189944134078212,2.127094972067039,1.0,0.16179590292905122,0.1428571428571428,517.1312849162011,12.473463687150838,0.0,0.00558659217877095,0.0008840735097718337,0.0,0.004189944134078212,0.2109988776655443,1.835195530726257,0.004189944134078212,,1289.4615199187128
realworld_completed_24of28,realworld_completed,bio_celegansneural,SASB,late,716.0,0.22206703910614525,0.3729050279329609,0.8365921787709497,1.0,0.44523975791433884,0.3333333333333333,14.803072625698324,2.3840782122905027,0.33798882681564246,0.2611731843575419,8.934785471098144e-05,0.0,0.02653631284916201,0.0033670033670033005,131.85055865921788,0.3729050279329609,,13.168205336030573
