gcc_ratio,graph_id,graph_type,method,remove_ratio,removed_edges,split
1.0,synthetic_test_000,sbm,Candidate damage predictor,0.0,0,synthetic_test
1.0,synthetic_test_000,sbm,Candidate damage predictor,0.0009285051067780873,1,synthetic_test
1.0,synthetic_test_000,sbm,Candidate damage predictor,0.0018570102135561746,2,synthetic_test
1.0,synthetic_test_000,sbm,Candidate damage predictor,0.002785515320334262,3,synthetic_test
1.0,synthetic_test_000,sbm,Candidate damage predictor,0.003714020427112349,4,synthetic_test
0.9948979591836735,synthetic_test_000,sbm,Candidate damage predictor,0.004642525533890436,5,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.005571030640668524,6,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.0064995357474466105,7,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.007428040854224698,8,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.008356545961002786,9,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.009285051067780872,10,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.01021355617455896,11,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.011142061281337047,12,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.012070566388115135,13,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.012999071494893221,14,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.013927576601671309,15,synthetic_test
0.9897959183673469,synthetic_test_000,sbm,Candidate damage predictor,0.014856081708449397,16,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.015784586815227482,17,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.016713091922005572,18,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.017641597028783658,19,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.018570102135561744,20,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.019498607242339833,21,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.02042711234911792,22,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.02135561745589601,23,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.022284122562674095,24,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.02321262766945218,25,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.02414113277623027,26,synthetic_test
0.9846938775510204,synthetic_test_000,sbm,Candidate damage predictor,0.025069637883008356,27,synthetic_test
